"tags","paper_count"
"Life History Trait","106"
"Genetics;","50"
"Life History Trait; Physiology & Anatomy; Ecology","31"
"Microbiology, Ecology","28"
"Genetics; Life History Trait;","28"
"Genetics","14"
"Microbiology","14"
"Microbiology, Physiology & Anatomy","11"
"Life History Trait; Economics","11"
"Genetics; Microbiology; Immunology; Biochemistry","9"
"Biochemistry; Genetics; Life History Trait","8"
"Genetics; Immunology;","8"
"Life History Trait; Ecology","7"
"Life History Trait; Safety & Welfare","7"
"Life History Trait; Biochemistry","7"
"Microbiology, Genetics","6"
"Ecology; Genetics;","6"
"Microbiology, Safety & Welfare","6"
"Life History Trait; Physiology & Anatomy; Biochemistry; Ecology","6"
"Life History Trait; Genetics","6"
"Life History Trait; Microbiology; Safety & Welfare","6"
"Genetics; Life History Trait","6"
"Life History Trait; Bioaccumulation","5"
"Genetics; Physiology & Anatomy","5"
"Life History Trait; Microbiology; Immunology","5"
"Genetics; Immunology","5"
"Life History Trait; Microbiology","5"
"Life History Trait; Safety & Welfare; Physiology & Anatomy; Ecology","4"
"Microbiology, Genetics, Ecology","4"
"Microbiology, Novel Solutions, Ecology","4"
"Life History Trait; Novel Solutions","4"
"Life History Trait; Biotechnology; Novel Solutions","4"
"Microbiology, Physiology & Anatomy, Ecology","4"
"Life History Trait; Economics; Ecology","4"
"Microbiology, Ecology, Novel Solutions","4"
"Physiology & Anatomy","4"
"Microbiology, Ecology, Physiology & Anatomy","4"
"Microbiology; Immunology; Safety & Welfare","3"
"Genetics; Physiology & Anatomy;","3"
"Biotechnology; Genetics;","3"
"Microbiology, Ecology, Bioaccumulation","3"
"Ecology","3"
"Life History Trait; Safety & Welfare; Ecology","3"
"Biochemistry; Genetics;","3"
"Life History Trait; Bioaccumulation; Biochemistry","3"
"Life History Trait; Safety & Welfare; Economics","3"
"Biotechnology; Genetics; Novel Solutions;","3"
"Bioaccumulation; Genetics; Safety & Welfare","3"
"Bioaccumulation; Biochemistry; Genetics; Physiology & Anatomy; Safety & Welfare","3"
"Life History Trait; Economics; Physiology & Anatomy; Ecology","3"
"Life History Trait, Microbiology, Ecology","3"
"Biotechnology, Economics","3"
"Life History Trait; Immunology","2"
"Life History Trait, Biotechnology, Ecology","2"
"Genetics; Life History Trait; Physiology & Anatomy","2"
"Genetics; Life History Trait; Physiology & Anatomy;","2"
"Life History Trait; Immunology; Safety & Welfare","2"
"Life History Trait; Safety & Welfare; Bioaccumulation; Economics","2"
"Life History Trait; Microbiology; Biochemistry","2"
"Microbiology; Immunology; Biochemistry","2"
"Life History Trait; Genetics; Biochemistry","2"
"Genetics; Safety & Welfare","2"
"Genetics, Microbiology, Physiology & Anatomy","2"
"Microbiology, Genetics, Physiology & Anatomy, Biochemistry, Ecology","2"
"Microbiology, Immunology, Safety & Welfare","2"
"Microbiology, Ecology, Safety & Welfare, Noel Solutions","2"
"Microbiology, Immunology, Biotechnology","2"
"Genetics; Immunology; Microbiology","2"
"Microbiolgy, Novel Solutions","2"
"Biochemistry; Genetics; Life History Trait; Physiology & Anatomy","2"
"Microbiology, Physiology & Anatomy, Biochemistry, Ecology","2"
"Bioaccumulation; Biochemistry; Genetics; Immunology; Life History Trait","2"
"Biotechnology; Genetics; Safety & Welfare","2"
"Genetics;  Microbiology; Immunology; Biochemistry","2"
"Microbiology, Novel Solutions, Physiology & Anatomy, Ecology","2"
"Life History Trait; Genetics; Microbiology","2"
"Microbiology, Genetics, Biochemistry, Ecology","2"
"Physiology & Anatomy, Microbiology, Ecology, Life History, Novel Solutions","2"
"Ecology, Microbiology","2"
"Microbiology, Genetics, Physiology & Anatomy","2"
"Biochemistry; Genetics; Immunology; Life History Trait","2"
"Biochemistry; Genetics","2"
"Genetics; Life History Trait; Safety & Welfare","2"
"Biochemistry; Life History Trait; Physiology & Anatomy","2"
"Life History Trait; Safety & Welfare; Bioaccumulation","2"
"Genetics; Immunology; Microbiology;","2"
"Microbiolgy, Ecology","2"
"Life History Trait; Genetics; Microbiology; Immunology; Biochemistry","1"
