"authors","paper_count"
NULL,"11"
"Denyse Cavalcante Lago; Martin Hasselmann; Klaus Hartfelder","2"
"Ary A. Hoffmann; Perran A. Ross","1"
"Valeriya Zabelina; Vyacheslav Klymenko; Toshiki Tamura; Karina Doroshenko; Haoyuan Liang; Hideki Sezutsu; and František Sehnal","1"
"Kevin Malod; Petrus D. Roets; Henrika Bosua; C. Ruth Archer; Christopher W. Weldon","1"
"Trevor M. Fowles; Christian Nansen","1"
"Günther V, Lindert U, Schaffner W","1"
"Kane J. Yoon1; Christopher B. Cunningham2; Amanda Bretman1; Elizabeth J. Duncan","1"
"Valeria Silva; Angelina Palcios-Munoz; Mariano Volonte; Lia Frenkel; John Ewer; Sheila Ons","1"
"Qiuying Chen; Xi Yang; Dongrui You; Jiaojiao Luo; Xiaojing Hu; Zhifeng Xu; Wei Xiao","1"
"Muhammad Salim Hakeemi; Salim Ansari; Matthias Teuscher; Matthias Weißkopf; Daniela Großmann; Tobias Kessel; Jürgen Dönitz; Janna Siemanowski; Xuebin Wan; Dorothea Schultheis; Manfred Frasch; Siegfried Roth; Michael Schoppmeier; Martin Klingler; Gregor Bucher","1"
"Zhao-Zhe Xin,† Qiu-Ning Liu,*,† Yu Liu, Dai-Zhen Zhang, Zheng-Fei Wang, Hua-Bin Zhang, Bao-Ming Ge, Chun-Lin Zhou, Xin-Yue Chai, and Bo-Ping Tang","1"
"Lelanie Hoffmann; Kelvin L. Hull; Anandi Bierman; Rozane Badenhorst; Aletta E. Bester-van der Merwe; Clint Rhode","1"
"Jason W Millington; George P Brownrigg; Charlotte Chao; Ziwei Sun; Paige J Basner-Collins; Lianna W Wat; Bruno Hudry; Irene Miguel-Aliaga; Elizabeth J Rideout","1"
"Nikolas Vellnow; Sonja Schindler; Tim Schmoll","1"
" Ning Jin; Yanxia Liu; Shouyu Zhang; Shibo Sun; Minghuo Wu; Xiaoying Dong; Huiyan Tong; Jianqiang Xu; Hao Zhou; Shui Guan; Weiping Xu","1"
"Shuai Zhan; Gangqi Fang; Minmin Cai; Zongqing Kou; Jun Xu1; Yanghui Cao; Liang Bai; Yixiang Zhang; Yongmao Jiang; Xingyu Luo; Jian Xu; Xia Xu; Longyu Zheng; Ziniu Yu; Hong Yang; Zhijian Zhang; Sibao Wang; Jeffery K. Tomberlin; Jibin Zhang; Yongping Huang","1"
"Zhang, J (Zhang, Jie); Shi, ZH (Shi, Zhihui); Gao, ZH (Gao, Zhenghui) ; Wen, YT (Wen, Yiting); Wang, WQ (Wang, Wanqiang); Liu, W (Liu, Wen); Wang, XP (Wang, Xiaoping); Zhu, F (Zhu, Fen)","1"
"Jeanneth Pérez; Vivian Mendez; Boaz Yuval; Phillip W. Taylor","1"
"Juan J. Fanara; Maria I. L. Beti; Luciano Gandini; Esteban Hasson","1"
"Alessia Giannetto; Sabrina Oliva; Carlos Frederico Ceccon Lanes;Fabio de Araújo Pedron; Domenico Savastano; Cosimo Bavieraa; Vincenzo Parrinoa; Giuseppe Lo Paroa; Nunzia Carla Spanòc; Tiziana Cappelloa; Maria Maisanoa; Angela Mauceria; Salvatore Fasuloa","1"
"Taro Nakamura; Guillem Ylla; Cassandra G Extavou","1"
"Scharlaken, B; de Graaf, DC; Goossens, K; Brunain, M; Peelman, LJ; Jacobs, FJ","1"
"Minmin Cai; Li Li; Zhengzheng Zhao; Ke Zhang; Fang Li; Chan Yu; Rongfang Yuan; Beihai Zhou; Zhuqing Ren; Ziniu Yu 1; Jibin Zhang","1"
"Min Wang; Ziyue Zhou; Simin Li; Wei Zhu; Xianda Hu","1"
"Kanakachari Mogilicherla; Amit Roy","1"
"Sabrina Lehmann; Bibi Atika; Daniela Grossmann; Christian Schmitt-Engel; Nadi Strohlein; Upalparna Majumdar; Tobias Richter; Matthias Weißkopf; Salim Ansari; Matthias Teuscher; Muhammad Salim Hakeemi; Jianwei Li; Bernhard Weißbecker; Martin Klingler; Gregor Bucher; Ernst A. Wimmer","1"
"Mahfooz, NS; Li, H; Popadic, A ","1"
"Jelle Boonekamp; Rolando Rodríguez-Muñoz; Paul Hopwood; Erica Zuidersma; Ellis Mulder; Alastair Wilson; Simon Verhulst; Tom Tregenza","1"
"Peng Xu; Min Shi; Xue-xin Chen","1"
"Jian Xu, Xingyu Luo, Gangqi Fang, Shuai Zhan, Jun Wu b, Dun Wang , Yongping Huang","1"
