"iab_relevance","paper_count"
"Cadmium (Cd) is a mobile, toxic, and non-biodegradable found in various waste streams that could be found in Black Soldier Fly (BSF) substrate. Heavy metals, especially Cadmium (Cd), can accumulate in black soldier fly larvae because of uptake from a contaminated waste. These metals are added to livestock feed to prevent diseases and promote growth in some countries, which is excreted with animal feces. The contaminated feces are then used as fertilizer for crops. This presents a potential risk to animal and crops, which may be fed black soldier fly products.","5"
"Heavy metals, especially Cadmium (Cd), can accumulate in black soldier fly larvae because of uptake from a contaminated waste. These metals are added to livestock feed to prevent diseases and promote growth in some countries, which is excreted with animal feces. The contaminated feces are then used as fertilizer for crops. This presents a potential risk to animal and crops, which may be fed black soldier fly products. Metallothionein (MT) proteins are involved in metal detoxification. For example, greater MT mRNA expression was associated with greater tolerance to Cd in other insects (springtail, Orchesella cincta). These pathways may be a route to reduce downstream risk for consumers of black soldier fly products.","4"
"Insects like the black soldier fly (BSF) have a symbiotic relationship with bacteria. Due to selective pressures like medicine and agriculture, though, some bacteria have developed antibiotic resistance (AR) genes. These AR genes can be directly shared with other bacteria, a process called vertical transmission. If BSF feed on waste containing AR genes, it is possible that larvae and frass will contain them too","4"
"Both age and sex affect thermal preference, which can be important to closely monitor in small-scale colony maintenance.","3"
"An insect reared on recycled material is expected to encounter a wide variety of food. Many species exhibit preferences and special adaptations to some sources, which varies even between strains or breeding lines. An insect’s preference for a certain food or nutritional profile is rooted in its genetics. An organism that does not synthesize lysine (amino acid), for example, must find it in their diet. The black soldier fly (BSF) has achieved a lot of success as a commercial insect because it is a generalist, eating many kinds of food, but it still has its preferences. For example, in previous research, BSF larvae regularly chose to feed on pig manure over vegetable waste. If BSF are going to be waste recyclers, it is important that we understand how they make feeding choices. If we can identify genes related to those choices, it may be possible to create a line that is optimized for whatever food source is available and not the other way around.","2"
"Understanding the critical role of the sand fly microbiome in Leishmania growth and differentiation can be valuable for insect producers involved in disease control strategies. Insights into microbiome manipulation might aid in reducing disease transmission by interfering with Leishmania development in sand flies.","2"
"As the industry expands, considering welfare of the insects will be crucial to legitimizing and sustaining BSF mass rearing.","2"
"Heavy metals, especially Cadmium (Cd), can accumulate in black soldier fly larvae because of uptake from a contaminated waste. These metals are added to livestock feed to prevent diseases and promote growth in some countries, which is excreted with animal feces. The contaminated feces are then used as fertilizer for crops. This presents a potential risk to animal and crops, which may be fed black soldier fly products.","2"
"Different insect species may react differently to the same climate conditions, so they need to be specialized. ","2"
"As reported in the Jan 2023 P1 meeting, research suggests that the protein-carbohydrate ratio of an insect’s food source is important for health. The best ratio for black soldier fly is probably very carbohydrate heavy. This is useful for some vegetable waste streams, which are naturally low in protein. Other waste streams exceed the comfortable range of protein content, such as spent brewers yeast (65%), soy bran (35%), meat by-products (20% wet). One solution is to make our commercial insects more adapted to high-protein diets through artificial selection. This would allow a production facility to expand their food source options, by having multiple specialized commercial strains. On the other hand, it could also allow a facility to specialize in one kind of waste product, should they find an unexploited or cheap source.","2"
