"insect_species","paper_count"
"Hermetia illucens","228"
"Tenebrio molitor","45"
"Drosophila melanogaster","40"
"Bombyx mori","33"
"NA","16"
"Drosophila","9"
"Insecta","9"
NULL,"9"
"Apis mellifera","8"
"Tribolium castaneum","7"
"Drosophila Melanogaster","6"
"Acheta domesticus","5"
"Musca domestica","5"
"Animalia","5"
"Plantae","4"
"Hermetia illucens; Tenebrio molitor","4"
"Hermetia illucens, Tenebrio molitor","4"
"Gryllus bimaculatus","4"
"Drosophila malanogaster","4"
"Zophobas morio","3"
"N/A","3"
"Aedes aegypti","3"
"Galleria mellonella","3"
"Spodoptera litura","3"
"Bactrocera dorsalis","3"
"Lutzomyia longipalpis","3"
"Hermetia illucens, Tenebrio molitor, Musca domestica","3"
"Animalia, Plantae","3"
"hexapoda","3"
"Anastrepha ludens","3"
"Teleogryllus commodus","2"
"Plutella xylostella","2"
"Apis Mellifera","2"
"Sirex noctilio","2"
"Spodoptera littoralis","2"
"Bactrocera tryoni","2"
"Teleogryllus oceanicus","2"
"Agrilus mali","2"
"Manduca sexta","2"
"Spodoptera frugiperda","2"
"Acalymma vittatum","2"
"Eukarya","2"
"Bombus impatiens","2"
"Animalia; Plantae","2"
"hermetia illucens","2"
"Apis spp.","2"
"Bombus terrestris","2"
"Anopheles gambiae","2"
"Aedes aegypti, Aedes albopictus","2"
"Rhodnius prolixus","2"
"Musca domestica; Stomoxys calcitrans","2"
"Sitophilus","2"
"Schistocerca gregaria","2"
"Helicoverpa armigera","2"
"Ceratitis cosyra","2"
"Gryllus campestris","2"
"Blattella germanica","2"
"Hermetica illucens","2"
"Cimex lectularius","2"
"Anopheles coluzzii","2"
"Nezara viridula","2"
"Hermetia illucens, musca domestica","2"
"Oryctes rhinoceros","1"
"Diaphorina citri","1"
"xylophagous","1"
"Bombyx mori; Hermetia illucens","1"
"Chrysomya megacephala,Musca domestica","1"
"Plantae; Arabidopsis","1"
"Triatominae","1"
"Paralichthys olivaceus","1"
"various species","1"
"Monochamus alternatus","1"
"Drosophila melanogaster, Drosophila pseudoobscura","1"
