"journal","paper_count"
"Scientific Reports","28"
"Animals","25"
"Insects","23"
"Frontiers in Microbiology","20"
"Journal of Insects as Food and Feed","20"
"PLOS ONE","18"
"Microbiome","11"
"Environmental Entomology","11"
"Sustainability","10"
"Journal of Insect Science","10"
"Foods","9"
"Insect Molecular Biology","9"
"BMC Genomics","9"
"International Journal of Molecular Sciences","8"
"Aquaculture Nutrition","8"
"mBio","7"
"Insect Science","7"
"Journal of Economic Entomology","6"
"Current Opinion in Insect Science","6"
"Journal of Insect Physiology","6"
"PLoS ONE","5"
"eLife","5"
"Nature Communications","5"
"Annals of Animal Science","5"
"Viruses","5"
"BMC Microbiology","5"
"Proceedings Biological Sciences","4"
"Gene","4"
"Aquaculture Reports","4"
"Frontiers in Insect Science","4"
"Microbiology Spectrum","4"
"Journal of Evolutionary Biology","4"
"frontiers in genetics","4"
"Italian Journal of Animal Science","4"
"PeerJ","3"
"Genes","3"
"Global Change Biology","3"
"Applied and Environmental Microbiology","3"
"Ecotoxicology and Environmental Safety","3"
"Philosophical Transactions","3"
"Animal Feed Science and Technology","3"
"Insect Biochemistry and Physiology","3"
"Aquaculture Research","3"
"Insect Biochemistry and Molecular Biology","3"
"Aquaculture","3"
"Current Biology","3"
"Molecular Ecology","3"
"Science Reports","3"
"Frontiers in Physiology","3"
"G3","3"
"Environmental Science and Pollution Research","3"
"Journal of Experimental Biology","3"
"Metabolites","3"
"Journal of Applied Entomology","3"
"Animal Microbiome","3"
"Agronomy for Sustainable Development","3"
"insects","3"
"Journal of Chemical Ecology","3"
"Biology Letters","3"
"Poultry Science","2"
"Microbiology Open Wiley","2"
"Nature Genetics","2"
"Microbial Ecology","2"
"Insect Biochemsitry and Molecular Biology","2"
"BCM Microbiology","2"
"Insect biochemistry and molecular biology ","2"
"ISME","2"
"Journal of Animal Science and Biotechnology","2"
"Journal of Medical Entomology","2"
"Functional Ecology","2"
"Journal of Biosciences","2"
"Biomas Conversion and Biorefinery","2"
"BMC Evolutionary Biology","2"
"Environmental Microbiology","2"
"Science Advances","2"
"Translational Animal Science","2"
"Frontiers in Genetics","2"
"Journal of Water Sanitation and Hygiene for Development","2"
"Journal of Cleaner Production","2"
"Journal of Thermal Biology","2"
"Genetics","2"
"Waste Management","2"
"Veterinary World","2"
"Journal of Animal Ecology","2"
"Journal of Agriculture and Food Research","2"
"Agriculture Basel","2"
"Fish and Shellfish Immunology","2"
"Journal of Invertebrate Physiology","2"
"PloS one","2"
"Frontiers_Microbiology","2"
"Entomologia Experimentalis et Applicata","2"
"Fishes","2"
"Developmental and Comparative Immunology","2"
"genes","2"
"scientific reports","2"
"Science of the Total Environment","2"
"PLoS ONE ","2"
"Microbial Biotechnology","2"
"Developmental & Comparative Immunology","2"
"Journal of Animal Science and Technology","2"
"Journal of Expiremental Biology","2"
"Molecular Genetics and Genomics","2"
"Frontiers in Nutrition","2"
"mSystems","2"
"Oecologia","2"
"Waste and Biomass Valorization","2"
"Microorganisms","2"
"INSECTS","2"
"Animal Nutrition","2"
"PLOS Genetics","2"
"Tropical Animal Science Journal","1"
"ScienceDirect","1"
"Biotechnology and Bioengineering","1"
"Cell Research","1"
"IOP Conference Series.Earth and Environmental Science, 450(1)","1"
"Cogent Food & Agriculture","1"
"Biol Trace Elem Res","1"
"Processes","1"
"Proceedings of National Academy of Sciences of the United States of America","1"
"Orcokinin neuropeptides regulate reproduction in the fruit fly, Drosophila melanogaster","1"
"Genes and Development","1"
"PNAS","1"
"Biology","1"
"Global Ecology and Biogeography","1"
"Jounal for Laser surgery, phototherapy, and photobioactivation","1"
"Plants- Basel","1"
"Lab Animal","1"
"International Journal of Tropical Science","1"
"BMC Genetics","1"
"International Symposium for Sustainable Humanosphere","1"
"Frontiers in Animal Science","1"
"Frontiers in Physics","1"
"Parasites & Vectors","1"
"Veterinary and Animal Science","1"
"FRONTIERS IN MICROBIOLOGY","1"
"Annual Review Entomology","1"
"Proc. R. Soc. B","1"
"Journal of Animal and Plant Sciences","1"
"New Phytology","1"
"The Entomological Society of Korea","1"
"Insects ","1"
"Biotechnology for biofuels","1"
"Korean Journal of Parasitology","1"
"G3; Genes Genomes; Genetics","1"
"Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology","1"
"FEMS Microbiology Ecology","1"
"Animal Behavior","1"
"Food Microbiology","1"
"Chemosphere","1"
"Journal of Heredity","1"
"BMC Plant Biology","1"
"Frontiers in cellular neuroscience","1"
"Latin American Journal of Aquatic Research","1"
"Plant Biotechnology Journal","1"
"Philospphical Transactions of the Royal Society of London Series B Biological Sciences","1"
"Ecology and Evolution","1"
"Scientific Data","1"
"EvoDevo","1"
"Proceeeding National Academy Science USA","1"
"Biological Journal of the Linnean Society","1"
"Invertebrate Physiology","1"
"Reviews in Aquaculture","1"
